text,has_link,has_caps,is_spam,cleared_text,mention_count,has_hashtag,spam_keyword_count,spam_keyword_ratio,excl_quest_count,punctuation_density,text_length,word_count,sentiment
На месте стрельбы в Луизиане обнаружен подозрительный пакет http://t.co/L7GMKRVxY2,1,0,1,на месте стрельбы в луизиане обнаружен подозрительный пакет,0,0,0,0.0,0,0.0,59,8,positive
В Нижнем Новгороде на Стрелке началась реставрация здания Ярмарочной гостиницы Ермолаева — новый отель будет принимать болельщиков ЧМ-2018 https://t.co/Iug6vK5DdH,1,1,1,в нижнем новгороде на стрелке началась реставрация здания ярмарочной гостиницы ермолаева — новый отель будет принимать болельщиков чм-2018,0,0,0,0.0,0,0.0,138,18,negative
"Да, я расист, но я гомнорю не только на языке Достоевского.",0,0,0,"да, я расист, но я гомнорю не только на языке достоевского.",0,0,0,0.0,0,0.0,59,11,positive
"И как тут не вспомнить речь принца Лимона из ""Чиполлино""?",0,0,0,"и как тут не вспомнить речь принца лимона из ""чиполлино""?",0,0,0,0.0,1,0.017543859649122806,57,10,negative
"Со стройки СИЗО ""Кресты-2"" сбежали двое заключенных https://t.co/pPH5zqVLdB",1,1,1,"со стройки сизо ""кресты-2"" сбежали двое заключенных",0,0,0,0.0,0,0.0,51,7,negative
"а не может так быть, что правы вы оба и речь идет о двух новых фичах?",0,0,0,"а не может так быть, что правы вы оба и речь идет о двух новых фичах?",0,0,0,0.0,1,0.014492753623188406,69,16,positive
Sony по тихой облажалась,0,0,0,sony по тихой облажалась,0,0,0,0.0,0,0.0,24,4,negative
"Мультфильм ""Миньоны"" собрал $1 млрд в мировом прокате http://t.co/MkG1Q69znX",1,0,1,"мультфильм ""миньоны"" собрал $1 млрд в мировом прокате",0,0,0,0.0,0,0.0,53,8,negative
Что то поздно они. Уже месяца 2 назад у нас в саду были случаи заражения корью,0,0,0,что то поздно они. уже месяца 2 назад у нас в саду были случаи заражения корью,0,0,0,0.0,0,0.0,78,16,negative
"нет, ios 26 нужна исключительно для того чтобы ещё больше путать пользователя
не хотели бы путать - или оставили старую нумерацию, или поставили 25",0,0,0,"нет, ios 26 нужна исключительно для того чтобы ещё больше путать пользователя не хотели бы путать - или оставили старую нумерацию, или поставили 25",0,0,0,0.0,0,0.0,147,24,positive
Это русский язык Л. Толстого и Ф. Достоевского. Изучайте. Он прикольный ;),0,1,0,это русский язык л. толстого и ф. достоевского. изучайте. он прикольный ;),0,0,0,0.0,0,0.0,74,12,neutral
Пассажиры поезда «Уфа — Сибай — Уфа» смогут приобрести билеты по льготной цене https://t.co/MiZKpIV2uh,1,0,1,пассажиры поезда «уфа — сибай — уфа» смогут приобрести билеты по льготной цене,0,0,0,0.0,0,0.0,78,13,negative
Насколько гуманно что бы человек имел какое либо заболевание на протяжении всей жизни?,0,0,0,насколько гуманно что бы человек имел какое либо заболевание на протяжении всей жизни?,0,0,0,0.0,1,0.011627906976744186,86,13,positive
"Вот нам бы ещё отказаться от арабских цифр...
Тогда заживем!",0,0,0,вот нам бы ещё отказаться от арабских цифр... тогда заживем!,0,0,0,0.0,1,0.016666666666666666,60,10,negative
,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
