text,username,first_name,last_name,is_deleted,has_media,has_link,cleaned_text,has_caps,is_spam
На месте стрельбы в Луизиане обнаружен подозрительный пакет http://t.co/L7GMKRVxY2,unknown,unknown,unknown,-1,0,1,На месте стрельбы в Луизиане обнаружен подозрительный пакет http://t.co/L7GMKRVxY2,0,1
В Нижнем Новгороде на Стрелке началась реставрация здания Ярмарочной гостиницы Ермолаева — новый отель будет принимать болельщиков ЧМ-2018 https://t.co/Iug6vK5DdH,unknown,unknown,unknown,-1,0,1,В Нижнем Новгороде на Стрелке началась реставрация здания Ярмарочной гостиницы Ермолаева — новый отель будет принимать болельщиков ЧМ-2018 https://t.co/Iug6vK5DdH,1,1
"Да, я расист, но я гомнорю не только на языке Достоевского.",JigaD314,Jiga Driga 🎩,unknown,0,0,0,"Да, я расист, но я гомнорю не только на языке Достоевского.",0,0
"И как тут не вспомнить речь принца Лимона из ""Чиполлино""?",Kotakotakot,Константин,unknown,0,0,0,"И как тут не вспомнить речь принца Лимона из ""Чиполлино""?",0,0
"Со стройки СИЗО ""Кресты-2"" сбежали двое заключенных https://t.co/pPH5zqVLdB",unknown,unknown,unknown,-1,0,1,"Со стройки СИЗО ""Кресты-2"" сбежали двое заключенных https://t.co/pPH5zqVLdB",1,1
"а не может так быть, что правы вы оба и речь идет о двух новых фичах?",mimiqril,Maxim,Dolgov,0,1,0,"а не может так быть, что правы вы оба и речь идет о двух новых фичах?",0,0
Sony по тихой облажалась,gulnarpop,.,unknown,0,0,0,Sony по тихой облажалась,0,0
"Мультфильм ""Миньоны"" собрал $1 млрд в мировом прокате http://t.co/MkG1Q69znX",unknown,unknown,unknown,-1,0,1,"Мультфильм ""Миньоны"" собрал $1 млрд в мировом прокате http://t.co/MkG1Q69znX",0,1
Что то поздно они. Уже месяца 2 назад у нас в саду были случаи заражения корью,deleted,Вероника,unknown,0,0,0,Что то поздно они. Уже месяца 2 назад у нас в саду были случаи заражения корью,0,0
"нет, ios 26 нужна исключительно для того чтобы ещё больше путать пользователя
не хотели бы путать - или оставили старую нумерацию, или поставили 25",iwuwka,iwuwka,unknown,0,0,0,"нет, ios 26 нужна исключительно для того чтобы ещё больше путать пользователя
не хотели бы путать - или оставили старую нумерацию, или поставили 25",0,0
Это русский язык Л. Толстого и Ф. Достоевского. Изучайте. Он прикольный ;),JigaD314,Jiga Driga 🎩,unknown,0,0,0,Это русский язык Л. Толстого и Ф. Достоевского. Изучайте. Он прикольный ;),1,0
